timestamp moteid fluo temp1 temp2 temp3 temp4 temp5 temp6 light wind_direction wind_speed
1156816802 102 93.1245625092 21.845 19.427 18.230999999999998 18.0 18.041 17.891 0.37799999999999995 123.301 0.0
1156816812 102 124.605689159 21.862 19.459 18.26 17.933 17.906 17.882 0.38 122.902 0.0
1156816822 102 191.854982382 21.886999999999997 19.675 18.277 17.903 17.874000000000002 17.836 0.384 124.14200000000001 0.0
1156816832 102 216.897702849 21.869 19.932000000000002 18.283 17.99 17.934 17.859 0.385 124.92200000000001 0.0
1156816843 102 206.004967735 21.846 19.952 18.271 17.987000000000002 17.832 17.83 0.392 125.711 0.0
1156816853 102 128.002988425 21.849 19.785999999999998 18.253 17.994 17.797 17.831 0.391 126.05799999999999 0.0
1156816863 102 116.62230236200001 21.901999999999997 19.238 18.269000000000002 18.026 17.837 17.81 0.384 124.95700000000001 0.0
1156816873 102 140.454324145 21.906999999999996 19.011 18.264 18.035 17.894000000000002 17.822 0.385 124.28 0.0
1156816883 102 173.046664334 21.86 19.401 18.226 17.973 17.915 17.815 0.385 124.87 0.0
1156816893 102 152.92401724200002 21.805 19.657 18.223 18.066 17.872 17.839000000000002 0.382 124.63600000000001 0.0
1156816903 102 138.918226132 21.878 19.387 18.186 17.99 17.863 17.816 0.37799999999999995 123.491 0.0
1156816913 102 126.864534906 21.820999999999998 19.15 18.155 18.011 17.85 17.840999999999998 0.38 122.876 0.0
1156816923 102 128.608485811 21.858 19.188 18.186 17.997 17.801 17.887999999999998 0.38299999999999995 123.205 0.0
1156816933 102 120.72932154600001 21.862 19.054000000000002 18.261 18.035999999999998 17.807000000000002 17.809 0.38299999999999995 123.396 0.0
1156816944 102 117.539579085 21.804000000000002 19.019000000000002 18.275 18.057000000000002 17.832 17.805999999999997 0.381 123.28299999999999 0.0
1156816954 102 118.307628091 21.805 19.129 18.230999999999998 17.969 17.844 17.816 0.379 122.911 0.0
1156816964 102 117.123873301 21.883000000000003 19.257 18.167 17.94 17.854 17.8 0.379 122.399 0.0
1156816974 102 160.902666652 21.846 19.543 18.116 17.958 17.869 17.844 0.37799999999999995 121.948 0.0
1156816984 102 213.744379058 21.825 19.809 18.137999999999998 17.937 17.907 17.852999999999998 0.375 122.304 0.0
1156816994 102 257.188594391 21.838 19.811 18.277 17.961 17.898 17.857 0.373 122.625 0.0
1156817004 102 213.463984914 21.836 19.79 18.3 18.016 17.884 17.824 0.371 121.324 0.0
1156817014 102 161.548727921 21.840999999999998 19.62 18.305 17.987000000000002 17.866 17.838 0.37200000000000005 120.553 0.0
1156817024 102 193.020379795 21.883000000000003 19.525 18.309 17.979 17.804000000000002 17.871 0.37200000000000005 120.319 0.0
1156817034 102 198.460085401 21.905 19.495 18.239 17.969 17.915 17.834 0.366 119.911 0.0
1156817045 102 178.201830581 21.84 19.63 18.224 17.972 17.892 17.824 0.36700000000000005 119.27799999999999 0.0
1156817055 102 161.34531632899998 21.85 19.855999999999998 18.274 17.991 17.923 17.845 0.369 119.11399999999999 0.0
1156817065 102 171.614492768 21.83 19.977999999999998 18.272000000000002 17.942999999999998 17.952 17.77 0.369 118.914 0.0
1156817075 102 226.665604435 21.829 19.915 18.17 17.965999999999998 17.875 17.827 0.37 119.729 0.0
1156817085 102 217.878046049 21.820999999999998 19.781 18.137 18.009 17.918 17.872 0.373 120.12799999999999 0.0
1156817095 102 182.742320755 21.826 19.512 18.192 18.039 17.915 17.819000000000003 0.374 120.241 0.0
1156817105 102 161.941635026 21.83 19.394000000000002 18.158 18.003 17.952 17.792 0.369 119.634 0.0
1156817115 102 157.956899665 21.809 19.344 18.156 17.967 17.910999999999998 17.836 0.369 119.07 0.0
1156817125 102 163.32880140700001 21.791 19.351 18.267 17.984 17.847 17.819000000000003 0.368 119.027 0.0
1156817135 102 167.286296788 21.788 19.445 18.226 17.996 17.889 17.817999999999998 0.369 119.07 0.0
1156817146 102 151.636336005 21.765 19.532 18.201 17.979 17.86 17.8 0.368 118.446 0.0
1156817156 102 140.73442220200002 21.776 19.547 18.215999999999998 17.94 17.825 17.815 0.36700000000000005 118.87100000000001 0.0
1156817166 102 165.190002661 21.807 19.533 18.133 17.954 17.840999999999998 17.793 0.36700000000000005 119.244 0.0
1156817176 102 182.331056271 21.825 19.589000000000002 18.15 17.961 17.838 17.784000000000002 0.366 118.221 0.0
1156817186 102 169.477634758 21.808000000000003 19.746 18.15 17.948 17.859 17.775 0.364 117.779 0.0
1156817196 102 187.27363223900002 21.791999999999998 19.822 18.241 18.025 17.817999999999998 17.840999999999998 0.363 117.397 0.0
1156817206 102 183.96219812799998 21.783 19.897000000000002 18.256 18.024 17.816 17.824 0.366 117.56200000000001 0.0
1156817216 102 173.71552428200002 21.789 19.801 18.244 17.834 17.804000000000002 17.83 0.364 117.839 0.0
1156817226 102 203.163127195 21.829 19.711 18.201 17.84 17.840999999999998 17.788 0.363 117.666 0.0
1156817236 102 206.13613416099997 21.809 19.715 18.197 17.942 17.872 17.887 0.363 117.449 0.0
1156817247 102 180.20308086400001 21.799 19.662 18.18 17.945999999999998 17.859 17.878 0.361 116.868 0.0
1156817257 102 178.24683576599998 21.828000000000003 19.605 18.168 17.887 17.838 17.669 0.36 115.96700000000001 0.0
1156817267 102 175.441413895 21.816 19.468 18.174 17.857 17.848 17.768 0.36 115.79299999999999 0.0
1156817277 102 159.235402213 21.837 19.273 18.186 17.918 17.881 17.744 0.361 115.811 0.0
1156817287 102 160.202421509 21.788 19.283 18.205 17.977999999999998 17.874000000000002 17.725 0.364 116.036 0.0
